T1,T2,T3
0.144,0.636,0.22
0.162,0.562,0.276
0.2,0.486,0.314
0.4122,0.2877,0.3001
0.3178,0.1988,0.4834
0.235,0.085,0.68
0.2158,0.0468,0.7374
0.5052,0.0672,0.4276
0.466,0.1164,0.4176
0.4623,0.1289,0.4088
0.291,0.216,0.493
0.2932,0.1844,0.5224
0.4086,0.1975,0.3939
0.615,0.1546,0.2304
0.4795,0.1975,0.323
0.7154,0.116,0.1686
0.6,0.212,0.188
0.4302,0.2446,0.3252
0.4923,0.2648,0.2429
0.3739,0.3219,0.3042
0.5036,0.2483,0.2481
0.5266,0.2521,0.2213
0.4776,0.2999,0.2225
0.3854,0.2986,0.316
0.3352,0.2616,0.4032
0.418,0.274,0.308
0.3675,0.254,0.3785
0.3811,0.1721,0.4468
0.3703,0.2167,0.413
0.3889,0.2099,0.4012
0.5296,0.1996,0.2708
0.4064,0.2627,0.3309
0.3342,0.2662,0.3996
0.3706,0.2828,0.3466
0.3364,0.3464,0.3172
0.405,0.3017,0.2933
0.3556,0.3318,0.3126
0.357,0.192,0.451
0.454,0.245,0.301
0.4492,0.2464,0.3044
0.3848,0.2008,0.4144
0.403,0.3126,0.2844
0.3896,0.3586,0.2518
0.4818,0.2696,0.2486
0.5182,0.235,0.2468
0.5614,0.2087,0.2299
0.39480000000000004,0.31980000000000003,0.28540000000000004
0.2465,0.542,0.2115
0.2914,0.329,0.3796
0.2718,0.3684,0.3598
0.2464,0.4346,0.319
0.2943,0.2946,0.4111
0.3264,0.302,0.3716
0.326,0.2876,0.3864
0.3076,0.326,0.3664
0.3866,0.3127,0.3007
0.2914,0.3944,0.3142
0.325,0.2224,0.4526
0.409,0.207,0.384
0.445,0.166,0.389
0.6021000000000001,0.16470000000000004,0.23320000000000002
0.31360000000000005,0.38480000000000003,0.30160000000000003
0.2112,0.5972,0.1916
0.3058,0.4068,0.2874
0.39,0.358,0.252
0.4659,0.2284,0.3057
0.4024,0.2826,0.315
0.4096,0.3283,0.2621
0.2708,0.4382,0.291
0.239,0.536,0.225
0.45820000000000005,0.36100000000000004,0.18080000000000002
0.39570000000000005,0.45380000000000004,0.15050000000000002
0.6522,0.2392,0.1086
0.6334,0.2168,0.1498
0.3445,0.2499,0.4056
0.3824,0.0848,0.5328
0.347,0.343,0.31
0.3506,0.3374,0.312
0.319,0.162,0.519
0.217,0.554,0.229
0.2144,0.502,0.2836
0.3112,0.4572,0.2316
0.2224,0.5636,0.214
0.137,0.714,0.149
