sample_size,method,reg,numItermax,stopThr,sinkhorn_kl,exact_kl,error,rel_error,time
1000,sinkhorn,0.002,100,1e-07,0.03659674391969101,0.04329043455718744,0.006693690637496426,15.462285620288569,0.5072336196899414
1000,sinkhorn,0.002,100,1e-08,0.03659674391969101,0.04329043455718744,0.006693690637496426,15.462285620288569,0.8167316913604736
1000,sinkhorn,0.002,100,1e-09,0.03659674391969101,0.04329043455718744,0.006693690637496426,15.462285620288569,0.46269941329956055
1000,sinkhorn,0.002,500,1e-06,0.04486593628318002,0.04329043455718744,0.0015755017259925855,3.639376093375361,2.2635927200317383
1000,sinkhorn,0.002,500,1e-07,0.04486593628318002,0.04329043455718744,0.0015755017259925855,3.639376093375361,2.192172050476074
1000,sinkhorn,0.002,500,1e-08,0.04486593628318002,0.04329043455718744,0.0015755017259925855,3.639376093375361,2.11665678024292
1000,sinkhorn,0.002,500,1e-09,0.04486593628318002,0.04329043455718744,0.0015755017259925855,3.639376093375361,2.373472213745117
1000,sinkhorn,0.002,1000,1e-06,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,4.644333600997925
1000,sinkhorn,0.002,1000,1e-07,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,4.153760671615601
1000,sinkhorn,0.002,1000,1e-08,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,4.452219486236572
1000,sinkhorn,0.002,1000,1e-09,0.044875530784064324,0.04329043455718744,0.0015850962268768864,3.6615391901020216,3.645404577255249
1000,sinkhorn,0.002,2000,1e-06,0.04487558399622968,0.04329043455718744,0.001585149439042241,3.6616621090930153,4.234599351882935
1000,sinkhorn,0.002,2000,1e-07,0.044875662307919895,0.04329043455718744,0.001585227750732457,3.6618430074624055,6.493427515029907
1000,sinkhorn,0.002,2000,1e-08,0.044875662307919895,0.04329043455718744,0.001585227750732457,3.6618430074624055,7.679466485977173
1000,sinkhorn,0.002,2000,1e-09,0.044875662307919895,0.04329043455718744,0.001585227750732457,3.6618430074624055,7.97299861907959
1000,sinkhorn,0.005,50,1e-06,0.04210786913533063,0.04329043455718744,0.00118256542185681,2.731701434631292,0.35698723793029785
1000,sinkhorn,0.005,50,1e-07,0.04210786913533063,0.04329043455718744,0.00118256542185681,2.731701434631292,0.395113468170166
1000,sinkhorn,0.005,50,1e-08,0.04210786913533063,0.04329043455718744,0.00118256542185681,2.731701434631292,0.37879443168640137
1000,sinkhorn,0.005,50,1e-09,0.04210786913533063,0.04329043455718744,0.00118256542185681,2.731701434631292,0.27524900436401367
1000,sinkhorn,0.005,100,1e-06,0.046951262030833406,0.04329043455718744,0.003660827473645968,8.456435032570415,0.5650696754455566
1000,sinkhorn,0.005,100,1e-07,0.046951262030833406,0.04329043455718744,0.003660827473645968,8.456435032570415,0.5629169940948486
1000,sinkhorn,0.005,100,1e-08,0.046951262030833406,0.04329043455718744,0.003660827473645968,8.456435032570415,0.5665535926818848
1000,sinkhorn,0.005,100,1e-09,0.046951262030833406,0.04329043455718744,0.003660827473645968,8.456435032570415,0.508622407913208
