T1,T2,T3
"(O,(p1,(p2,p3)));","(O,(p2,(p1,p3)));","(O,(p3,(p1,p2)));"
0.39,0.32,0.29
0.22926666666666667,0.3846,0.38613333333333333
0.27413333333333334,0.3582666666666667,0.3676
0.1296,0.1446,0.7258
0.3472,0.224,0.4288
0.16266666666666665,0.344,0.49333333333333335
0.26,0.2693333333333333,0.4706666666666667
0.06,0.005,0.935
0.2865333333333333,0.2552,0.45826666666666666
0.3464,0.21453333333333333,0.43906666666666666
0.388,0.224,0.388
0.032,0.032,0.936
0.124,0.11333333333333333,0.7626666666666667
0.2968,0.20813333333333334,0.49506666666666665
0.086,0.006,0.908
0.20466666666666666,0.36,0.43533333333333335
0.27066666666666667,0.2773333333333333,0.452
0.0644,0.3044,0.6312
0.268,0.376,0.356
0.324,0.272,0.404
0.21213333333333334,0.358,0.4298666666666667
0.034666666666666665,0.0,0.9653333333333334
0.243,0.129,0.628
0.116,0.356,0.528
0.39266666666666666,0.18733333333333332,0.42
0.2728,0.3498,0.3774
0.154,0.198,0.648
0.198,0.478,0.324
0.43133333333333335,0.20266666666666666,0.366
0.38,0.211,0.409
0.446,0.287,0.267
0.236,0.476,0.288
0.2118,0.4328,0.3554
0.18813333333333335,0.17906666666666668,0.6328
0.2232,0.3,0.4768
0.116,0.2488,0.6352
0.45853333333333335,0.1112,0.4302666666666667
0.314,0.156,0.53
0.1568,0.28373333333333334,0.5594666666666667
0.12493333333333333,0.12526666666666667,0.7498
0.15633333333333332,0.5083333333333333,0.3353333333333333
0.136,0.54,0.324
0.2804,0.2564,0.4632
0.22013333333333332,0.2634666666666667,0.5164
0.2926666666666667,0.5638666666666666,0.14346666666666666
0.44133333333333336,0.19366666666666665,0.365
0.7333333333333333,0.058666666666666666,0.208
0.12833333333333333,0.6186666666666667,0.253
0.0732,0.1992,0.7276
0.173,0.101,0.726
0.307,0.25,0.443
0.49666666666666665,0.24346666666666666,0.2598666666666667
0.18786666666666665,0.2212,0.5909333333333333
0.337,0.3368,0.3262
0.10493333333333334,0.1016,0.7934666666666667
0.06266666666666666,0.23813333333333334,0.6992
0.096,0.116,0.788
0.13806666666666667,0.3360666666666667,0.5258666666666667
0.3532,0.4265333333333333,0.22026666666666667
0.198,0.296,0.506
0.2848,0.2776,0.4376
0.14933333333333335,0.5106666666666667,0.34
0.29706666666666665,0.2902666666666667,0.4126666666666667
0.234,0.216,0.55
0.20666666666666667,0.291,0.5023333333333333
0.09,0.117,0.793
0.132,0.128,0.74
0.378,0.16866666666666666,0.4533333333333333
0.45613333333333334,0.10713333333333333,0.4367333333333333
0.3237333333333333,0.27786666666666665,0.3984
0.2206,0.5138,0.2656
0.2294,0.262,0.5086
0.1,0.0,0.9
0.596,0.258,0.146
0.2432,0.2432,0.5136
0.22333333333333333,0.41,0.36666666666666664
0.257,0.159,0.584
0.512,0.072,0.416
0.35586666666666666,0.2976,0.34653333333333336
0.424,0.366,0.21
0.22166666666666668,0.18433333333333332,0.594
0.138,0.32866666666666666,0.5333333333333333
0.1168,0.2674666666666667,0.6157333333333334
0.09,0.21,0.7
0.376,0.324,0.3
0.025,0.025,0.95
0.23,0.23133333333333334,0.5386666666666666
0.27413333333333334,0.22906666666666667,0.4968
0.3132,0.1356,0.5512
0.2118,0.3002,0.488
0.23626666666666668,0.45386666666666664,0.3098666666666667
0.165,0.104,0.731
0.3172,0.2692,0.4136
0.23066666666666666,0.3276,0.4417333333333333
0.018,0.093,0.889
0.2592,0.3504,0.3904
0.2064,0.1994,0.5942
0.2613333333333333,0.21153333333333332,0.5271333333333333
0.41333333333333333,0.2986666666666667,0.288
