0,1,2
119726,136891,134008
106189,116453,167983
118542,122523,149560
121365,107735,161525
132456,133670,124499
136744,147063,106818
151522,129126,109977
131128,153437,106060
144770,121788,124067
126345,150115,114165
88303,117415,184907
147829,130330,112466
116423,148517,125685
163967,108555,118103
127582,132941,130102
129098,132199,129328
129695,141890,119040
145701,126267,118657
131021,122894,136710
143311,112768,134546
132280,125258,133087
123454,100946,166225
150060,127962,112603
131286,158877,100462
146675,119610,124340
123643,151429,115553
128448,127268,134909
129564,126454,134607
118121,152332,120172
167866,117255,105504
111134,136832,142659
112618,110372,167635
140652,120462,129511
149535,134110,106980
134765,135452,120408
148623,139259,102743
138902,126640,125083
131577,144448,114600
120020,142011,128594
134837,129068,126720
127455,126434,136736
138906,133575,118144
138185,115943,136497
168953,107551,114121
149479,127942,113204
116843,139882,133900
139352,131069,120204
175232,99623,115770
133930,107802,148893
115698,128539,146388
122298,122619,145708
130313,111407,148905
147418,130594,112613
133888,120227,136510
162344,123434,104847
149182,109567,131876
102819,178356,109450
124365,125021,141239
134255,134027,122343
144875,124661,121089
184616,93628,112381
140452,137253,112920
156058,121636,112931
136214,138874,115537
188357,103994,98274
142613,111440,136572
119769,105325,165531
140816,129262,120547
156878,126471,107276
115929,118980,155716
103792,139633,147200
148933,139121,102571
171493,110777,108355
160131,115956,114538
143635,145658,101332
136193,122891,131541
138219,135641,116765
135685,132760,122180
219151,99336,72138
156209,110539,123877
130398,133050,127177
158133,114199,118293
176524,96823,117278
139970,115910,134745
188536,101609,100480
130562,138219,121844
115077,123270,152278
129738,124711,136176
143788,131633,115204
125104,138363,127158
118276,165782,106567
123727,140597,126301
189310,81931,119384
108698,119209,162718
101723,155211,133691
170297,122965,97363
134123,161070,95432
128154,150122,112349
120616,103377,166632
136920,121094,132611
125332,149471,115822
162558,122557,105510
122404,122872,145349
169560,118162,102903
110359,133739,146527
139759,142162,108704
116480,150594,123551
141490,92678,156457
106540,138129,145956
167719,123095,99811
158530,115840,116255
140575,132390,117660
146253,115760,128612
173148,105712,111765
167714,112860,110051
187466,84414,118745
124203,154262,112160
162279,109253,119093
142642,133094,114889
125161,144207,121257
113462,136949,140214
159783,107519,123323
158594,119792,112239
127186,112318,151121
153260,97355,140010
123536,179114,87975
131769,135078,123778
126599,125513,138513
150955,142507,97163
210019,97378,83228
118416,145929,126280
203658,85593,101374
139841,124502,126282
127538,117061,146026
154301,132151,104173
152618,137016,100991
150219,112268,128138
154259,119410,116956
96107,99892,194626
132491,101541,156593
158348,118006,114271
117994,104230,168401
152164,129589,108872
151198,122094,117333
90394,186186,114045
