0,1,2
136975,150325,103325
139700,117825,133100
130148,119737,140740
131325,77425,181875
204000,52360,134265
122988,103451,164186
16641,86468,287516
116700,22750,251175
89250,154525,146850
124890,154435,111300
125835,115480,149310
151184,109116,130325
72625,194250,123750
100611,131220,158794
92350,125075,173200
124376,112971,153278
103995,86550,200080
138125,40000,212500
144575,140238,105812
57625,90750,242250
124125,130250,136250
97299,69323,224003
116015,118445,156165
74045,43970,272610
12200,11025,367400
193750,55000,141875
143472,99672,147481
132848,58498,199279
8550,9100,372975
37536,114586,238503
23475,131075,236075
49181,50067,291377
101955,155280,133390
133750,121475,135400
134441,110666,145518
63750,127125,199750
104608,114963,171054
205425,66900,118300
17500,158125,215000
190175,16300,184150
105575,94820,190230
141428,121586,127611
86046,100958,203621
70283,70019,250323
156650,57800,176175
262775,22500,105350
180480,80580,129565
70241,60356,260028
11625,4000,375000
227525,63500,99600
138125,60000,192500
106650,68625,215350
111049,145987,133589
20950,21925,347750
87398,128179,175048
86437,78912,225276
50875,31350,308400
125525,115100,150000
169250,61875,159500
93930,111990,184705
97950,117850,174825
47300,80025,263300
106835,114940,168850
0,30850,359775
158597,72603,159425
164700,11025,214900
212038,72466,106121
12500,65625,312500
104321,85941,200363
94830,141810,153985
152786,67316,170523
125187,50327,215111
115875,103750,171000
153485,100380,136760
14520,14520,361585
161672,33312,195641
112414,134227,143984
115850,92500,182275
143100,68400,179125
96495,185520,108610
92700,152175,145750
102480,133105,155040
179250,73000,138375
150470,97190,142965
59640,195065,135920
63938,105916,220771
80717,40442,269466
163580,83166,143879
125378,133169,132078
65227,88823,236575
80485,104842,205298
104403,135253,150969
85125,209875,95625
145674,85932,159019
98350,58075,234200
93580,52285,244760
103124,150632,136869
175617,99303,115705
193425,8800,188400
133200,74700,182725
159585,91294,139746
124334,114795,151496
85635,60060,244930
126600,162950,101075
106000,115875,168750
137125,145050,108450
123301,142730,124594
232930,65730,91965
54892,134592,201141
145781,80515,164329
84555,95295,210775
110625,98125,181875
94093,52269,244263
167470,69450,153705
71325,24750,294550
102925,137975,149725
57925,111350,221350
133000,60900,196725
100225,139175,151225
190625,65575,134425
123700,109650,157275
112750,125375,152500
125009,123158,142458
137755,86389,166481
116457,117524,156644
84910,165205,140510
62425,86725,241475
38780,57300,294545
181450,65250,143925
52608,48608,289409
161400,41800,187425
99050,194500,97075
74129,173702,142794
173450,70050,147125
151720,93220,145685
2100,59050,329475
65312,60501,264812
