0,1,2
149675,39800,201150
99625,138500,152500
154075,119880,116670
76352,131175,183098
152325,56700,181600
140285,111475,138865
251250,41350,98025
109489,41447,239689
203125,41250,146250
144067,149254,97304
102167,162692,125766
119830,110795,160000
142020,133570,115035
91655,116210,182760
195500,51625,143500
146741,29867,214017
165550,143950,81125
197350,94100,99175
136084,115058,139483
85600,12900,292125
118772,61772,210081
89325,128110,173190
215044,58386,117195
117711,78557,194357
202225,110500,77900
241875,67500,81250
112625,104375,173625
161350,149275,80000
107795,159820,123010
113415,152250,124960
127696,108723,154206
91524,103698,195403
97109,131979,161537
130450,67050,193125
202450,42800,145375
210600,55950,124075
156564,96005,138056
102917,138712,148996
108839,143205,138581
140625,87500,162500
120067,84792,185766
67200,4400,319025
211040,81845,97740
102125,87400,201100
106443,140999,143183
164885,95215,130525
125775,103800,161050
172025,58325,160275
151995,95180,143450
45663,38563,306399
113450,90225,186950
156300,104400,129925
155691,100753,134181
119838,122858,147929
105625,3900,281100
70010,145218,175397
157790,115695,117140
98025,51600,241000
168042,97362,125221
136725,74375,179525
186275,26250,178100
40650,31275,318700
125517,71484,193624
90427,33099,267099
159600,118399,112626
152925,125850,111850
101581,89222,199822
116622,45407,228596
73274,94658,222693
27775,170400,192450
68100,171900,150625
125000,0,265625
112975,9125,268525
184375,22500,183750
86500,58250,245875
128795,108530,153300
113101,202008,75516
126865,105016,158744
80275,147725,162625
218520,52240,119865
78050,20900,291675
32450,83250,274925
100482,177283,112860
164800,54300,171525
64565,63890,262170
146124,145676,98825
31750,81150,277725
81910,65076,243639
106221,102603,181801
208575,48750,133300
116372,23922,250331
278825,45630,66170
171550,73200,145875
182625,124500,83500
68037,209370,113218
77125,183000,130500
135100,118125,137400
89036,45336,256253
116150,122500,151975
106750,43500,240375
122050,102125,166450
169599,72866,148160
172774,136939,80912
202325,75050,113250
226225,63425,100975
230200,68750,91675
182200,68550,139875
65307,133063,192255
140850,123775,126000
173075,68900,148650
173298,76323,141004
121000,99950,169675
144695,103534,142396
124125,87150,179350
72225,101800,216600
167170,186790,36665
41689,56714,292222
75775,172475,142375
131483,123535,135607
154750,70400,165475
162280,87760,140585
189675,63150,137800
231710,18320,140595
145554,46554,198517
172690,76235,141700
180210,117620,92795
100216,107594,182815
146975,68625,175025
147888,80462,162275
80870,90502,219253
54750,150650,185225
27100,95400,268125
79875,31975,278775
90152,108694,191779
183847,104600,102178
89550,132350,168725
44775,98475,247375
144655,138980,106990
126850,99850,163925
153575,92900,144150
172750,50375,167500
117445,107266,165914
62500,0,328125
67100,26925,296600
53125,115000,222500
146325,92100,152200
128200,52600,209825
257100,40200,93325
76328,75714,238583
141937,91648,157040
120050,85650,184925
126250,125275,139100
92415,118905,179305
93425,189200,108000
120525,80425,189675
155627,94670,140328
123600,138448,128577
77650,150000,162975
91148,141634,157843
57331,147194,186100
71250,148125,171250
145000,66275,179350
100675,144700,145250
156723,116295,117607
100685,150450,139490
109825,146975,133825
55750,18775,316100
68638,53061,268926
62055,39330,289240
174840,96790,118995
111700,120600,158325
51175,71500,267950
166212,62866,161547
27250,90075,273300
155222,96324,139079
50325,152375,187925
118872,139514,132239
74922,88970,226733
176325,45975,168325
191000,37125,162500
111625,111500,167500
245820,55945,88860
188125,106250,96250
88559,60316,241750
104520,169745,116360
119750,130250,140625
54075,202775,133775
112280,73430,204915
205649,69784,115192
218750,0,171875
105615,107042,177968
90400,82225,218000
206066,85998,98561
147650,131550,111425
168800,101925,119900
159945,151812,78868
115650,81675,193300
85075,110225,195325
219640,59870,111115
91075,95150,204400
146829,99981,143815
99081,188362,103182
231524,66802,92299
81435,78980,230210
94740,121240,174645
79800,197925,112900
117125,156875,116625
113988,73085,203552
134856,135396,120373
266400,22900,101325
127775,68750,194100
101805,138196,150624
112655,120710,157260
125792,104292,160541
85313,86575,218737
127310,102405,160910
249714,71764,69147
138650,94350,157625
197675,17000,175950
54525,231000,105100
101646,101508,187471
101410,84410,204805
105140,74130,211355
34020,47520,309085
108300,109200,173125
219550,109550,61525
112994,114944,162687
164620,87135,138870
126150,73425,191050
88650,53850,248125
102250,27500,260875
170375,73125,147125
56475,875,333275
153950,21100,215575
118125,141000,131500
26219,105593,258813
180775,141900,67950
179654,76237,134734
94674,141363,154588
134214,117564,138847
141575,88950,160100
101550,143750,145325
54722,103854,232049
41667,150942,198016
165206,94256,131163
98025,26850,265750
166598,88643,135384
67700,22525,300400
210600,61950,118075
80775,31500,278350
101281,98807,190537
253615,49940,87070
105207,186181,99237
165600,92300,132725
97266,126376,166983
121863,158344,110418
163243,149145,78237
136550,113750,140325
144030,55140,191455
226050,73150,91425
228957,39561,122107
162530,161520,66575
