0,1,2
195675,155350,39600
138125,195500,57000
259625,70825,60175
112400,79325,198900
231425,89850,69350
265875,0,124750
108275,65070,217280
183385,155120,52120
335526,37748,17351
77900,87525,225200
298275,57800,34550
187175,139875,63575
242195,86620,61810
186522,149022,55081
74591,287797,28237
105525,214500,70600
170775,105500,114350
70500,26650,293475
228020,128315,34290
121150,141975,127500
109150,266475,15000
176600,129275,84750
296875,0,93750
238050,56775,95800
169650,121425,99550
140775,66175,183675
133700,121590,135335
188533,116048,86044
246875,76600,67150
188719,79628,122278
153100,117015,120510
120425,86800,183400
323325,40900,26400
126765,91680,172180
120600,261275,8750
209375,106250,75000
315625,37500,37500
176610,118530,95485
205019,32453,153153
241227,90674,58724
131650,46475,212500
195000,90000,105625
143950,137500,109175
319280,39285,32060
310375,22350,57900
213750,130000,46875
98750,267350,24525
335348,21069,34208
384300,4725,1600
378375,4250,8000
181128,121501,87996
145128,222209,23288
179681,121411,89533
365775,16100,8750
109825,143250,137550
178265,177580,34780
144025,180800,65800
183905,104300,102420
146915,133430,110280
196040,114645,79940
234765,113545,42315
266772,71889,51964
178600,178825,33200
285990,56050,48585
87375,141650,161600
135625,107775,147225
264319,75218,51088
195134,116782,78709
194875,104695,91055
139200,134600,116825
174450,110000,106175
157150,84575,148900
104300,49475,236850
143925,107550,139150
136060,125045,129520
149375,126680,114570
190000,120000,80625
253200,92550,44875
138050,131390,121185
232505,93435,64685
300050,56875,33700
153032,148062,89531
210300,77725,102600
130280,100825,159520
289750,40425,60450
275000,51875,63750
208650,100125,81850
160000,110625,120000
260625,112550,17450
319095,53690,17840
253750,63750,73125
203975,123275,63375
188475,66325,135825
100595,168410,121620
197995,96600,96030
265000,58275,67350
170325,82075,138225
114904,175320,100401
304375,0,86250
255375,55000,80250
103536,182393,104696
182331,142864,65430
85750,25800,279075
184250,72375,134000
103041,63105,224479
230125,57900,102600
148747,136911,104967
285375,48150,57100
226925,121900,41800
209480,108030,73115
179950,119850,90825
247175,84220,59230
206525,151400,32700
159750,138125,92750
147836,145332,97457
89205,37380,264040
128925,180150,81550
167611,161130,61884
200650,106575,83400
223332,117316,49977
181987,111526,97112
200400,78725,111500
100000,212500,78125
149937,97012,143676
242100,119625,28900
243632,56636,90357
152287,86952,151386
254225,63500,72900
139725,151875,99025
155625,113125,121875
178450,128750,83425
228300,91175,71150
114475,40600,235550
270725,87700,32200
326375,23250,41000
312750,77875,0
247850,70275,72500
245775,84950,59900
135544,129746,125335
117125,53750,219750
164632,96459,129534
130359,146935,113331
281250,109375,0
130325,143275,117025
390625,0,0
131125,135750,123750
390625,0,0
81225,42825,266575
385000,5625,0
86015,170695,133915
274875,55025,60725
188700,105350,96575
211750,81375,97500
219200,141525,29900
247600,60150,82875
217050,78925,94650
157214,99864,133547
115875,177500,97250
245449,78138,67038
234750,85050,70825
269250,38550,82825
188834,122495,79296
166179,106774,117672
233475,78900,78250
208250,74725,107650
72215,201640,116770
133750,99000,157875
285100,83975,21550
127335,126200,137090
215565,120730,54330
259950,83075,47600
201664,31593,157368
331875,13750,45000
113350,18300,258975
206868,96307,87450
175025,104250,111350
200175,103750,86700
303559,59742,27324
331250,50625,8750
190690,105480,94455
138625,173400,78600
138780,165460,86385
210195,102840,77590
254075,93050,43500
57156,294846,38623
112475,196800,81350
329648,43526,17451
205517,83104,102004
176025,28000,186600
86700,200500,103425
163136,40482,187007
130000,125625,135000
104500,94575,191550
197475,130600,62550
144488,126965,119172
148350,104475,137800
219025,81050,90550
124375,152500,113750
143750,178850,68025
66210,126450,197965
180625,125000,85000
229440,67430,93755
256550,94625,39450
197775,63350,129500
119490,108815,162320
161600,126300,102725
296700,32775,61150
143420,154135,93070
118920,133913,137792
323125,67500,0
329796,28377,32452
152250,93550,144825
85000,0,305625
96375,164450,129800
106775,248850,35000
70300,194825,125500
184375,89000,117250
250075,51125,89425
71850,242575,76200
254650,35625,100350
121746,209702,59177
158900,6875,224850
107675,94288,188662
220725,78850,91050
304375,45625,40625
290685,75335,24605
157750,157125,75750
142675,119000,128950
122225,145175,123225
331000,31500,28125
216650,50500,123475
111450,65700,213475
125000,214225,51400
114600,109100,166925
281945,46884,61796
47220,42070,301335
112675,184250,93700
257875,28800,103950
142525,54200,193900
255755,94115,40755
173000,111250,106375
184856,113253,92516
91625,208550,90450
255625,130800,4200
256294,66153,68178
97206,78231,215188
198100,59176,133349
54875,111900,223850
97274,59728,233623
131275,122400,136950
260644,106887,23094
128023,202824,59778
258580,63960,68085
112335,181055,97235
180625,149750,60250
118470,126965,145190
283925,33900,72800
287925,22675,80025
132385,183920,74320
368575,19925,2125
161296,155970,73359
195700,172500,22425
229489,54418,106718
256197,48564,85864
151633,91196,147796
221800,141000,27825
254150,73800,62675
186725,90025,113875
16690,322115,51820
193700,95425,101500
222828,84586,83211
123425,167150,100050
196505,73386,120734
354625,18000,18000
188600,132200,69825
114973,36084,239568
222075,58600,109950
276062,54719,59844
309790,30255,50580
59625,10300,320700
118000,222000,50625
22761,305028,62836
211800,71950,106875
