T1,T2,T3
"(O,(P1,(P2,P3)));","(O,(P2,(P1,P3)));","(O,(P3,(P1,P2)));"
0.2611,0.2617,0.4772
0.2611,0.2617,0.4772
0.2729,0.2587,0.4684
0.2932,0.2692,0.4376
0.2932,0.2692,0.4376
0.2932,0.2692,0.4376
0.2932,0.2692,0.4376
0.2948,0.2734,0.4318
0.2948,0.2734,0.4318
0.3048,0.2734,0.4218
0.3048,0.2734,0.4218
0.3368,0.2814,0.3818
0.3344,0.2918,0.3738
0.3509,0.3086,0.3405
0.3519,0.3076,0.3405
0.3519,0.3076,0.3405
0.3519,0.3076,0.3405
0.3548,0.3178,0.3274
0.4002,0.296,0.3038
0.4002,0.296,0.3038
0.4044,0.2946,0.301
0.4658,0.2576,0.2766
0.4862,0.262,0.2518
0.4862,0.262,0.2518
0.4862,0.262,0.2518
0.4702,0.275,0.2548
0.4702,0.275,0.2548
0.5072,0.2548,0.238
0.4816,0.2461,0.2723
0.5478,0.2192,0.233
0.5478,0.2192,0.233
0.5546,0.2124,0.233
0.5202,0.2376,0.2422
0.4786,0.2469,0.2745
0.4786,0.2469,0.2745
0.4784,0.2625,0.2591
0.4734,0.2675,0.2591
0.4734,0.2675,0.2591
0.4858,0.2625,0.2517
0.4682,0.2155,0.3163
0.4234,0.2371,0.3395
0.4234,0.2371,0.3395
0.3455,0.2009,0.4536
0.3455,0.2009,0.4536
0.3455,0.2009,0.4536
0.3353,0.1971,0.4676
0.3353,0.1971,0.4676
0.3353,0.1971,0.4676
0.4019,0.2271,0.371
0.3719,0.2661,0.362
0.3634,0.2744,0.3622
0.3634,0.2744,0.3622
0.3566,0.2716,0.3718
0.4002,0.2818,0.318
0.434,0.292,0.274
0.4518,0.2893,0.2589
0.4488,0.2893,0.2619
0.446,0.297,0.257
0.44,0.303,0.257
0.44,0.303,0.257
0.4688,0.291,0.2402
0.411,0.346,0.243
0.422,0.3192,0.2588
0.422,0.3192,0.2588
0.394,0.3132,0.2928
0.394,0.3132,0.2928
0.3808,0.3338,0.2854
0.382,0.3186,0.2994
0.3546,0.3182,0.3272
0.3566,0.3122,0.3312
0.3872,0.2942,0.3186
0.3576,0.3002,0.3422
0.3682,0.3006,0.3312
0.2946,0.3652,0.3402
0.2966,0.3642,0.3392
0.2754,0.3483,0.3763
0.2752,0.3805,0.3443
0.2922,0.3922,0.3156
0.2938,0.3414,0.3648
0.3035,0.3145,0.382
0.2926,0.3036,0.4038
0.2796,0.3084,0.412
0.2542,0.3206,0.4252
0.2188,0.2734,0.5078
0.2188,0.2734,0.5078
0.2188,0.2734,0.5078
0.2622,0.2634,0.4744
0.2622,0.2634,0.4744
0.2515,0.276,0.4725
0.2971,0.256,0.4469
0.2971,0.256,0.4469
0.2971,0.256,0.4469
0.2861,0.287,0.4269
0.2907,0.2886,0.4207
0.2876,0.2868,0.4256
0.2766,0.3178,0.4056
0.2766,0.3178,0.4056
0.2296,0.3348,0.4356
0.2056,0.3218,0.4726
0.2056,0.3218,0.4726
0.2078,0.2814,0.5108
0.2085,0.278,0.5135
0.2095,0.2685,0.522
0.2015,0.2595,0.539
0.2115,0.2375,0.551
0.2195,0.2465,0.534
0.1935,0.2255,0.581
0.1935,0.2255,0.581
0.2335,0.2635,0.503
0.2111,0.2627,0.5262
0.2213,0.3994,0.3793
0.2118,0.4232,0.365
0.2337,0.3887,0.3776
0.2337,0.3887,0.3776
0.3213,0.2507,0.428
0.1432,0.4404,0.4164
0.1279,0.4261,0.446
0.1361,0.4167,0.4472
0.325,0.152,0.523
0.325,0.152,0.523
0.325,0.152,0.523
0.2644,0.1979,0.5377
0.2644,0.1979,0.5377
0.2815,0.1985,0.52
0.2815,0.1985,0.52
0.2691,0.1653,0.5656
0.2532,0.1687,0.5781
0.3375,0.244,0.4185
0.309,0.265,0.426
0.309,0.265,0.426
0.3348,0.2566,0.4086
0.3006,0.2614,0.438
0.3174,0.2769,0.4057
0.3174,0.2769,0.4057
0.2058,0.2338,0.5604
0.2298,0.2328,0.5374
0.2298,0.2328,0.5374
0.2618,0.2438,0.4944
0.2746,0.2376,0.4878
0.2086,0.1416,0.6498
0.2482,0.1686,0.5832
0.2482,0.1686,0.5832
0.2422,0.2136,0.5442
0.345,0.222,0.433
0.345,0.222,0.433
0.319,0.251,0.43
0.319,0.251,0.43
0.3,0.272,0.428
0.2814,0.2494,0.4692
0.3052,0.2082,0.4866
0.3216,0.2106,0.4678
0.3102,0.2352,0.4546
0.3102,0.2352,0.4546
0.3216,0.2376,0.4408
0.3264,0.2296,0.444
0.3264,0.2296,0.444
0.3204,0.1844,0.4952
0.3834,0.1804,0.4362
0.3848,0.1628,0.4524
0.3848,0.1628,0.4524
0.3848,0.1628,0.4524
0.3535,0.1535,0.493
0.3535,0.1535,0.493
0.4045,0.1865,0.409
0.4105,0.1805,0.409
0.398,0.206,0.396
0.438,0.211,0.351
0.438,0.211,0.351
0.438,0.191,0.371
0.4135,0.1755,0.411
0.4135,0.1755,0.411
0.4135,0.1755,0.411
0.408,0.194,0.398
0.408,0.194,0.398
0.408,0.194,0.398
0.408,0.194,0.398
0.4388,0.1608,0.4004
0.4511,0.1531,0.3958
0.4661,0.1331,0.4008
0.4661,0.1331,0.4008
0.4661,0.1331,0.4008
0.4861,0.1281,0.3858
0.4984,0.1204,0.3812
0.4944,0.1284,0.3772
0.4944,0.1284,0.3772
0.4944,0.1284,0.3772
0.458,0.132,0.41
0.444,0.138,0.418
0.4648,0.1128,0.4224
0.4648,0.1128,0.4224
0.4648,0.1128,0.4224
0.504,0.1792,0.3168
0.493,0.206,0.301
0.509,0.18,0.311
0.473,0.1545,0.3725
0.4383,0.1723,0.3894
0.4077,0.1852,0.4071
0.4193,0.1832,0.3975
0.4018,0.1967,0.4015
0.4018,0.1967,0.4015
0.4102,0.1631,0.4267
0.4018,0.1967,0.4015
0.4218,0.1767,0.4015
0.4732,0.1749,0.3519
0.4672,0.1864,0.3464
0.4654,0.229,0.3056
0.4628,0.2646,0.2726
0.4628,0.2646,0.2726
0.4628,0.2646,0.2726
0.4564,0.2512,0.2924
0.4564,0.2512,0.2924
0.4744,0.2352,0.2904
0.4112,0.258,0.3308
0.4075,0.2843,0.3082
0.432,0.25,0.318
0.466,0.228,0.306
0.45,0.225,0.325
0.45,0.225,0.325
0.45,0.225,0.325
0.48,0.231,0.289
0.4709,0.2551,0.274
0.4709,0.2551,0.274
0.5134,0.2256,0.261
0.5021,0.2056,0.2923
0.4961,0.2116,0.2923
0.4521,0.2451,0.3028
0.4521,0.2451,0.3028
0.4607,0.257,0.2823
0.4607,0.257,0.2823
0.4706,0.2796,0.2498
0.4812,0.2673,0.2515
0.4812,0.2673,0.2515
0.474,0.2667,0.2593
0.4698,0.2648,0.2654
0.4698,0.2648,0.2654
0.5248,0.26,0.2152
0.469,0.2744,0.2566
0.453,0.2734,0.2736
0.473,0.2482,0.2788
0.4388,0.2782,0.283
0.4696,0.2766,0.2538
0.4576,0.2342,0.3082
0.4312,0.21,0.3588
0.421,0.1916,0.3874
0.43,0.1892,0.3808
0.4474,0.1768,0.3758
0.449,0.1772,0.3738
0.4404,0.1916,0.368
0.3474,0.282,0.3706
0.3246,0.3105,0.3649
0.279,0.2595,0.4615
0.279,0.2595,0.4615
0.27,0.2465,0.4835
0.314,0.3265,0.3595
0.314,0.3265,0.3595
0.368,0.2725,0.3595
0.2308,0.3673,0.4019
0.1786,0.5401,0.2813
0.1606,0.5461,0.2933
0.1606,0.5461,0.2933
0.1054,0.5614,0.3332
0.0892,0.6072,0.3036
0.2488,0.5248,0.2264
0.2668,0.5188,0.2144
0.2658,0.5088,0.2254
0.24,0.482,0.278
0.24,0.482,0.278
0.24,0.49,0.27
0.232,0.451,0.317
0.232,0.451,0.317
0.3826,0.3538,0.2636
0.4094,0.2542,0.3364
0.4094,0.2542,0.3364
0.4174,0.2282,0.3544
0.43,0.226,0.344
0.338,0.242,0.42
0.3371,0.2438,0.4191
0.3192,0.2931,0.3877
0.3121,0.3018,0.3861
0.3121,0.3018,0.3861
0.3121,0.3018,0.3861
0.3214,0.2976,0.381
0.3151,0.2994,0.3855
0.3151,0.2994,0.3855
0.3231,0.2874,0.3895
0.3231,0.2874,0.3895
0.3151,0.2986,0.3863
