"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.3, 0.35), (0.25, 0.3), (0.4, 0.45)]",150,382,-0.436,,0.000,81
"[(0.3, 0.35), (0.25, 0.3), (0.35, 0.4)]",285,461,-0.236,41.917,0.000,80
"[(0.3, 0.35), (0.3, 0.35), (0.35, 0.4)]",420,540,-0.125,15.039,0.000,79
"[(0.35, 0.4), (0.0, 0.05), (0.6, 0.65)]",0,0,,,,78
"[(0.35, 0.4), (0.0, 0.05), (0.55, 0.6)]",0,0,,,,77
"[(0.35, 0.4), (0.05, 0.1), (0.55, 0.6)]",0,2,-1.000,2.773,0.096,76
"[(0.35, 0.4), (0.05, 0.1), (0.5, 0.55)]",0,5,-1.000,6.931,0.008,75
"[(0.35, 0.4), (0.1, 0.15), (0.5, 0.55)]",0,14,-1.000,19.408,0.000,74
"[(0.35, 0.4), (0.1, 0.15), (0.45, 0.5)]",2,10,-0.667,5.822,0.016,73
"[(0.35, 0.4), (0.15, 0.2), (0.45, 0.5)]",9,20,-0.379,4.279,0.039,72
"[(0.35, 0.4), (0.15, 0.2), (0.4, 0.45)]",9,25,-0.471,7.835,0.005,71
"[(0.35, 0.4), (0.2, 0.25), (0.4, 0.45)]",27,117,-0.625,60.644,0.000,70
"[(0.35, 0.4), (0.2, 0.25), (0.35, 0.4)]",45,95,-0.357,18.258,0.000,69
"[(0.35, 0.4), (0.25, 0.3), (0.35, 0.4)]",125,213,-0.260,23.177,0.000,68
"[(0.35, 0.4), (0.25, 0.3), (0.3, 0.35)]",242,271,-0.057,1.640,0.200,67
"[(0.4, 0.45), (0.0, 0.05), (0.55, 0.6)]",0,0,,,,66
"[(0.4, 0.45), (0.0, 0.05), (0.5, 0.55)]",0,0,,,,65
"[(0.4, 0.45), (0.05, 0.1), (0.5, 0.55)]",0,0,,,,64
"[(0.4, 0.45), (0.05, 0.1), (0.45, 0.5)]",0,0,,,,63
"[(0.4, 0.45), (0.1, 0.15), (0.45, 0.5)]",1,7,-0.750,5.062,0.024,62
"[(0.4, 0.45), (0.1, 0.15), (0.4, 0.45)]",0,9,-1.000,12.477,0.000,61
"[(0.4, 0.45), (0.15, 0.2), (0.4, 0.45)]",1,11,-0.833,9.751,0.002,60
"[(0.4, 0.45), (0.15, 0.2), (0.35, 0.4)]",8,16,-0.333,2.718,0.099,59
"[(0.4, 0.45), (0.2, 0.25), (0.35, 0.4)]",31,50,-0.235,4.499,0.034,58
"[(0.4, 0.45), (0.2, 0.25), (0.3, 0.35)]",56,87,-0.217,6.774,0.009,57
"[(0.4, 0.45), (0.25, 0.3), (0.3, 0.35)]",163,185,-0.063,1.392,0.238,56
"[(0.45, 0.5), (0.0, 0.05), (0.5, 0.55)]",0,0,,,,55
"[(0.45, 0.5), (0.0, 0.05), (0.45, 0.5)]",0,0,,,,54
"[(0.45, 0.5), (0.05, 0.1), (0.45, 0.5)]",0,0,,,,53
"[(0.45, 0.5), (0.05, 0.1), (0.4, 0.45)]",0,3,-1.000,4.159,0.041,52
"[(0.45, 0.5), (0.1, 0.15), (0.4, 0.45)]",0,0,,,,51
"[(0.45, 0.5), (0.1, 0.15), (0.35, 0.4)]",0,12,-1.000,16.636,0.000,50
"[(0.45, 0.5), (0.15, 0.2), (0.35, 0.4)]",10,1,0.818,8.547,0.003,49
"[(0.45, 0.5), (0.15, 0.2), (0.3, 0.35)]",7,20,-0.481,6.527,0.011,48
"[(0.45, 0.5), (0.2, 0.25), (0.3, 0.35)]",26,48,-0.297,6.640,0.010,47
"[(0.45, 0.5), (0.2, 0.25), (0.25, 0.3)]",38,93,-0.420,23.823,0.000,46
"[(0.5, 0.55), (0.0, 0.05), (0.45, 0.5)]",0,0,,,,45
"[(0.5, 0.55), (0.0, 0.05), (0.4, 0.45)]",0,0,,,,44
"[(0.5, 0.55), (0.05, 0.1), (0.4, 0.45)]",0,0,,,,43
"[(0.5, 0.55), (0.05, 0.1), (0.35, 0.4)]",0,0,,,,42
"[(0.5, 0.55), (0.1, 0.15), (0.35, 0.4)]",0,4,-1.000,5.545,0.019,41
"[(0.5, 0.55), (0.1, 0.15), (0.3, 0.35)]",0,0,,,,40
"[(0.5, 0.55), (0.15, 0.2), (0.3, 0.35)]",7,10,-0.176,0.532,0.466,39
"[(0.5, 0.55), (0.15, 0.2), (0.25, 0.3)]",19,26,-0.156,1.093,0.296,38
"[(0.5, 0.55), (0.2, 0.25), (0.25, 0.3)]",20,56,-0.474,17.756,0.000,37
"[(0.55, 0.6), (0.0, 0.05), (0.4, 0.45)]",0,0,,,,36
"[(0.55, 0.6), (0.0, 0.05), (0.35, 0.4)]",0,0,,,,35
"[(0.55, 0.6), (0.05, 0.1), (0.35, 0.4)]",0,0,,,,34
"[(0.55, 0.6), (0.05, 0.1), (0.3, 0.35)]",0,0,,,,33
"[(0.55, 0.6), (0.1, 0.15), (0.3, 0.35)]",1,0,1.000,1.386,0.239,32
"[(0.55, 0.6), (0.1, 0.15), (0.25, 0.3)]",0,5,-1.000,6.931,0.008,31
"[(0.55, 0.6), (0.15, 0.2), (0.25, 0.3)]",9,6,0.200,0.604,0.437,30
"[(0.55, 0.6), (0.15, 0.2), (0.2, 0.25)]",4,4,0.000,-0.000,1.000,29
"[(0.6, 0.65), (0.0, 0.05), (0.35, 0.4)]",0,0,,,,28
"[(0.6, 0.65), (0.0, 0.05), (0.3, 0.35)]",0,0,,,,27
"[(0.6, 0.65), (0.05, 0.1), (0.3, 0.35)]",0,0,,,,26
"[(0.6, 0.65), (0.05, 0.1), (0.25, 0.3)]",0,0,,,,25
"[(0.6, 0.65), (0.1, 0.15), (0.25, 0.3)]",0,2,-1.000,2.773,0.096,24
"[(0.6, 0.65), (0.1, 0.15), (0.2, 0.25)]",2,0,1.000,2.773,0.096,23
"[(0.6, 0.65), (0.15, 0.2), (0.2, 0.25)]",0,5,-1.000,6.931,0.008,22
"[(0.65, 0.7), (0.0, 0.05), (0.3, 0.35)]",0,0,,,,21
"[(0.65, 0.7), (0.0, 0.05), (0.25, 0.3)]",0,0,,,,20
"[(0.65, 0.7), (0.05, 0.1), (0.25, 0.3)]",0,0,,,,19
"[(0.65, 0.7), (0.05, 0.1), (0.2, 0.25)]",0,0,,,,18
"[(0.65, 0.7), (0.1, 0.15), (0.2, 0.25)]",1,0,1.000,1.386,0.239,17
"[(0.65, 0.7), (0.1, 0.15), (0.15, 0.2)]",1,0,1.000,1.386,0.239,16
"[(0.7, 0.75), (0.0, 0.05), (0.25, 0.3)]",0,0,,,,15
"[(0.7, 0.75), (0.0, 0.05), (0.2, 0.25)]",0,0,,,,14
"[(0.7, 0.75), (0.05, 0.1), (0.2, 0.25)]",0,0,,,,13
"[(0.7, 0.75), (0.05, 0.1), (0.15, 0.2)]",0,0,,,,12
"[(0.7, 0.75), (0.1, 0.15), (0.15, 0.2)]",0,0,,,,11
"[(0.75, 0.8), (0.0, 0.05), (0.2, 0.25)]",0,0,,,,10
"[(0.75, 0.8), (0.0, 0.05), (0.15, 0.2)]",0,0,,,,9
"[(0.75, 0.8), (0.05, 0.1), (0.15, 0.2)]",0,0,,,,8
"[(0.75, 0.8), (0.05, 0.1), (0.1, 0.15)]",0,0,,,,7
"[(0.8, 0.85), (0.0, 0.05), (0.15, 0.2)]",0,0,,,,6
"[(0.8, 0.85), (0.0, 0.05), (0.1, 0.15)]",0,0,,,,5
"[(0.8, 0.85), (0.05, 0.1), (0.1, 0.15)]",0,0,,,,4
"[(0.85, 0.9), (0.0, 0.05), (0.1, 0.15)]",0,0,,,,3
"[(0.85, 0.9), (0.0, 0.05), (0.05, 0.1)]",0,0,,,,2
"[(0.9, 0.95), (0.0, 0.05), (0.05, 0.1)]",0,0,,,,1
