"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.05, 0.1), (0.05, 0.1), (0.85, 0.9)]",5,5,0.000,-0.000,1.000,169
"[(0.05, 0.1), (0.05, 0.1), (0.8, 0.85)]",1,7,-0.750,5.062,0.024,168
"[(0.05, 0.1), (0.1, 0.15), (0.8, 0.85)]",7,5,0.167,0.335,0.563,167
"[(0.05, 0.1), (0.1, 0.15), (0.75, 0.8)]",5,4,0.111,0.111,0.739,166
"[(0.05, 0.1), (0.15, 0.2), (0.75, 0.8)]",6,5,0.091,0.091,0.763,165
"[(0.05, 0.1), (0.15, 0.2), (0.7, 0.75)]",6,7,-0.077,0.077,0.781,164
"[(0.05, 0.1), (0.2, 0.25), (0.7, 0.75)]",2,3,-0.200,0.201,0.654,163
"[(0.05, 0.1), (0.2, 0.25), (0.65, 0.7)]",7,7,0.000,-0.000,1.000,162
"[(0.05, 0.1), (0.25, 0.3), (0.65, 0.7)]",3,6,-0.333,1.019,0.313,161
"[(0.05, 0.1), (0.25, 0.3), (0.6, 0.65)]",9,4,0.385,1.974,0.160,160
"[(0.05, 0.1), (0.3, 0.35), (0.6, 0.65)]",5,3,0.250,0.505,0.477,159
"[(0.05, 0.1), (0.3, 0.35), (0.55, 0.6)]",4,6,-0.200,0.403,0.526,158
"[(0.05, 0.1), (0.35, 0.4), (0.55, 0.6)]",2,2,0.000,-0.000,1.000,157
"[(0.05, 0.1), (0.35, 0.4), (0.5, 0.55)]",4,5,-0.111,0.111,0.739,156
"[(0.05, 0.1), (0.4, 0.45), (0.5, 0.55)]",8,3,0.455,2.358,0.125,155
"[(0.05, 0.1), (0.4, 0.45), (0.45, 0.5)]",10,7,0.176,0.532,0.466,154
"[(0.1, 0.15), (0.0, 0.05), (0.85, 0.9)]",13,6,0.368,2.641,0.104,153
"[(0.1, 0.15), (0.0, 0.05), (0.8, 0.85)]",11,9,0.100,0.200,0.654,152
"[(0.1, 0.15), (0.05, 0.1), (0.8, 0.85)]",15,13,0.071,0.143,0.705,151
"[(0.1, 0.15), (0.05, 0.1), (0.75, 0.8)]",13,15,-0.071,0.143,0.705,150
"[(0.1, 0.15), (0.1, 0.15), (0.75, 0.8)]",8,12,-0.200,0.805,0.369,149
"[(0.1, 0.15), (0.1, 0.15), (0.7, 0.75)]",21,18,0.077,0.231,0.631,148
"[(0.1, 0.15), (0.15, 0.2), (0.7, 0.75)]",14,13,0.037,0.037,0.847,147
"[(0.1, 0.15), (0.15, 0.2), (0.65, 0.7)]",14,21,-0.200,1.409,0.235,146
"[(0.1, 0.15), (0.2, 0.25), (0.65, 0.7)]",8,12,-0.200,0.805,0.369,145
"[(0.1, 0.15), (0.2, 0.25), (0.6, 0.65)]",16,12,0.143,0.573,0.449,144
"[(0.1, 0.15), (0.25, 0.3), (0.6, 0.65)]",9,10,-0.053,0.053,0.819,143
"[(0.1, 0.15), (0.25, 0.3), (0.55, 0.6)]",13,17,-0.133,0.535,0.465,142
"[(0.1, 0.15), (0.3, 0.35), (0.55, 0.6)]",9,16,-0.280,1.986,0.159,141
"[(0.1, 0.15), (0.3, 0.35), (0.5, 0.55)]",11,12,-0.043,0.043,0.835,140
"[(0.1, 0.15), (0.35, 0.4), (0.5, 0.55)]",10,13,-0.130,0.392,0.531,139
"[(0.1, 0.15), (0.35, 0.4), (0.45, 0.5)]",15,16,-0.032,0.032,0.857,138
"[(0.1, 0.15), (0.4, 0.45), (0.45, 0.5)]",14,10,0.167,0.670,0.413,137
"[(0.15, 0.2), (0.0, 0.05), (0.8, 0.85)]",12,15,-0.111,0.334,0.563,136
"[(0.15, 0.2), (0.0, 0.05), (0.75, 0.8)]",15,14,0.034,0.034,0.853,135
"[(0.15, 0.2), (0.05, 0.1), (0.75, 0.8)]",19,19,0.000,-0.000,1.000,134
"[(0.15, 0.2), (0.05, 0.1), (0.7, 0.75)]",22,26,-0.083,0.334,0.563,133
"[(0.15, 0.2), (0.1, 0.15), (0.7, 0.75)]",26,23,0.061,0.184,0.668,132
"[(0.15, 0.2), (0.1, 0.15), (0.65, 0.7)]",23,33,-0.179,1.795,0.180,131
"[(0.15, 0.2), (0.15, 0.2), (0.65, 0.7)]",28,24,0.077,0.308,0.579,130
"[(0.15, 0.2), (0.15, 0.2), (0.6, 0.65)]",43,38,0.062,0.309,0.578,129
"[(0.15, 0.2), (0.2, 0.25), (0.6, 0.65)]",29,22,0.137,0.964,0.326,128
"[(0.15, 0.2), (0.2, 0.25), (0.55, 0.6)]",45,36,0.111,1.002,0.317,127
"[(0.15, 0.2), (0.25, 0.3), (0.55, 0.6)]",30,29,0.017,0.017,0.896,126
"[(0.15, 0.2), (0.25, 0.3), (0.5, 0.55)]",33,33,0.000,-0.000,1.000,125
"[(0.15, 0.2), (0.3, 0.35), (0.5, 0.55)]",32,26,0.103,0.622,0.430,124
"[(0.15, 0.2), (0.3, 0.35), (0.45, 0.5)]",25,29,-0.074,0.297,0.586,123
"[(0.15, 0.2), (0.35, 0.4), (0.45, 0.5)]",28,19,0.191,1.734,0.188,122
"[(0.15, 0.2), (0.35, 0.4), (0.4, 0.45)]",26,36,-0.161,1.620,0.203,121
"[(0.2, 0.25), (0.0, 0.05), (0.75, 0.8)]",11,15,-0.154,0.618,0.432,120
"[(0.2, 0.25), (0.0, 0.05), (0.7, 0.75)]",14,18,-0.125,0.501,0.479,119
"[(0.2, 0.25), (0.05, 0.1), (0.7, 0.75)]",18,22,-0.100,0.401,0.527,118
"[(0.2, 0.25), (0.05, 0.1), (0.65, 0.7)]",28,36,-0.125,1.003,0.317,117
"[(0.2, 0.25), (0.1, 0.15), (0.65, 0.7)]",32,41,-0.123,1.112,0.292,116
"[(0.2, 0.25), (0.1, 0.15), (0.6, 0.65)]",50,50,0.000,-0.000,1.000,115
"[(0.2, 0.25), (0.15, 0.2), (0.6, 0.65)]",45,52,-0.072,0.506,0.477,114
"[(0.2, 0.25), (0.15, 0.2), (0.55, 0.6)]",60,62,-0.016,0.033,0.856,113
"[(0.2, 0.25), (0.2, 0.25), (0.55, 0.6)]",46,52,-0.061,0.368,0.544,112
"[(0.2, 0.25), (0.2, 0.25), (0.5, 0.55)]",62,63,-0.008,0.008,0.929,111
"[(0.2, 0.25), (0.25, 0.3), (0.5, 0.55)]",55,50,0.048,0.238,0.626,110
"[(0.2, 0.25), (0.25, 0.3), (0.45, 0.5)]",70,65,0.037,0.185,0.667,109
"[(0.2, 0.25), (0.3, 0.35), (0.45, 0.5)]",50,55,-0.048,0.238,0.626,108
"[(0.2, 0.25), (0.3, 0.35), (0.4, 0.45)]",77,60,0.124,2.115,0.146,107
"[(0.2, 0.25), (0.35, 0.4), (0.4, 0.45)]",55,54,0.009,0.009,0.924,106
"[(0.25, 0.3), (0.0, 0.05), (0.7, 0.75)]",20,18,0.053,0.105,0.746,105
"[(0.25, 0.3), (0.0, 0.05), (0.65, 0.7)]",19,13,0.188,1.132,0.287,104
"[(0.25, 0.3), (0.05, 0.1), (0.65, 0.7)]",38,27,0.169,1.871,0.171,103
"[(0.25, 0.3), (0.05, 0.1), (0.6, 0.65)]",43,31,0.162,1.955,0.162,102
"[(0.25, 0.3), (0.1, 0.15), (0.6, 0.65)]",45,52,-0.072,0.506,0.477,101
"[(0.25, 0.3), (0.1, 0.15), (0.55, 0.6)]",72,57,0.116,1.748,0.186,100
"[(0.25, 0.3), (0.15, 0.2), (0.55, 0.6)]",73,94,-0.126,2.648,0.104,99
"[(0.25, 0.3), (0.15, 0.2), (0.5, 0.55)]",90,83,0.040,0.283,0.595,98
"[(0.25, 0.3), (0.2, 0.25), (0.5, 0.55)]",89,106,-0.087,1.484,0.223,97
"[(0.25, 0.3), (0.2, 0.25), (0.45, 0.5)]",116,112,0.018,0.070,0.791,96
"[(0.25, 0.3), (0.25, 0.3), (0.45, 0.5)]",86,92,-0.034,0.202,0.653,95
"[(0.25, 0.3), (0.25, 0.3), (0.4, 0.45)]",143,132,0.040,0.440,0.507,94
"[(0.25, 0.3), (0.3, 0.35), (0.4, 0.45)]",118,108,0.044,0.443,0.506,93
"[(0.25, 0.3), (0.3, 0.35), (0.35, 0.4)]",123,132,-0.035,0.318,0.573,92
"[(0.3, 0.35), (0.0, 0.05), (0.65, 0.7)]",24,25,-0.020,0.020,0.886,91
"[(0.3, 0.35), (0.0, 0.05), (0.6, 0.65)]",18,20,-0.053,0.105,0.746,90
"[(0.3, 0.35), (0.05, 0.1), (0.6, 0.65)]",18,23,-0.122,0.611,0.434,89
"[(0.3, 0.35), (0.05, 0.1), (0.55, 0.6)]",42,32,0.135,1.355,0.244,88
"[(0.3, 0.35), (0.1, 0.15), (0.55, 0.6)]",67,71,-0.029,0.116,0.733,87
"[(0.3, 0.35), (0.1, 0.15), (0.5, 0.55)]",62,79,-0.121,2.055,0.152,86
"[(0.3, 0.35), (0.15, 0.2), (0.5, 0.55)]",88,85,0.017,0.052,0.820,85
"[(0.3, 0.35), (0.15, 0.2), (0.45, 0.5)]",122,127,-0.020,0.100,0.751,84
"[(0.3, 0.35), (0.2, 0.25), (0.45, 0.5)]",126,135,-0.034,0.310,0.577,83
"[(0.3, 0.35), (0.2, 0.25), (0.4, 0.45)]",161,168,-0.021,0.149,0.700,82
"[(0.3, 0.35), (0.25, 0.3), (0.4, 0.45)]",159,168,-0.028,0.248,0.619,81
"[(0.3, 0.35), (0.25, 0.3), (0.35, 0.4)]",199,195,0.010,0.041,0.840,80
"[(0.3, 0.35), (0.3, 0.35), (0.35, 0.4)]",177,179,-0.006,0.011,0.916,79
"[(0.35, 0.4), (0.0, 0.05), (0.6, 0.65)]",18,30,-0.250,3.032,0.082,78
"[(0.35, 0.4), (0.0, 0.05), (0.55, 0.6)]",25,27,-0.038,0.077,0.781,77
"[(0.35, 0.4), (0.05, 0.1), (0.55, 0.6)]",34,36,-0.029,0.057,0.811,76
"[(0.35, 0.4), (0.05, 0.1), (0.5, 0.55)]",52,47,0.051,0.253,0.615,75
"[(0.35, 0.4), (0.1, 0.15), (0.5, 0.55)]",87,72,0.094,1.417,0.234,74
"[(0.35, 0.4), (0.1, 0.15), (0.45, 0.5)]",89,62,0.179,4.854,0.028,73
"[(0.35, 0.4), (0.15, 0.2), (0.45, 0.5)]",119,115,0.017,0.068,0.794,72
"[(0.35, 0.4), (0.15, 0.2), (0.4, 0.45)]",142,155,-0.044,0.569,0.451,71
"[(0.35, 0.4), (0.2, 0.25), (0.4, 0.45)]",178,204,-0.068,1.771,0.183,70
"[(0.35, 0.4), (0.2, 0.25), (0.35, 0.4)]",247,242,0.010,0.051,0.821,69
"[(0.35, 0.4), (0.25, 0.3), (0.35, 0.4)]",266,257,0.017,0.155,0.694,68
"[(0.35, 0.4), (0.25, 0.3), (0.3, 0.35)]",281,290,-0.016,0.142,0.706,67
"[(0.4, 0.45), (0.0, 0.05), (0.55, 0.6)]",16,18,-0.059,0.118,0.732,66
"[(0.4, 0.45), (0.0, 0.05), (0.5, 0.55)]",15,37,-0.423,9.607,0.002,65
"[(0.4, 0.45), (0.05, 0.1), (0.5, 0.55)]",44,38,0.073,0.439,0.507,64
"[(0.4, 0.45), (0.05, 0.1), (0.45, 0.5)]",56,50,0.057,0.340,0.560,63
"[(0.4, 0.45), (0.1, 0.15), (0.45, 0.5)]",108,83,0.131,3.282,0.070,62
"[(0.4, 0.45), (0.1, 0.15), (0.4, 0.45)]",90,109,-0.095,1.817,0.178,61
"[(0.4, 0.45), (0.15, 0.2), (0.4, 0.45)]",133,123,0.039,0.391,0.532,60
"[(0.4, 0.45), (0.15, 0.2), (0.35, 0.4)]",165,177,-0.035,0.421,0.516,59
"[(0.4, 0.45), (0.2, 0.25), (0.35, 0.4)]",235,226,0.020,0.176,0.675,58
"[(0.4, 0.45), (0.2, 0.25), (0.3, 0.35)]",295,315,-0.033,0.656,0.418,57
"[(0.4, 0.45), (0.25, 0.3), (0.3, 0.35)]",308,325,-0.027,0.457,0.499,56
"[(0.45, 0.5), (0.0, 0.05), (0.5, 0.55)]",20,20,0.000,-0.000,1.000,55
"[(0.45, 0.5), (0.0, 0.05), (0.45, 0.5)]",15,25,-0.250,2.527,0.112,54
"[(0.45, 0.5), (0.05, 0.1), (0.45, 0.5)]",43,49,-0.065,0.392,0.531,53
"[(0.45, 0.5), (0.05, 0.1), (0.4, 0.45)]",61,58,0.025,0.076,0.783,52
"[(0.45, 0.5), (0.1, 0.15), (0.4, 0.45)]",100,72,0.163,4.578,0.032,51
"[(0.45, 0.5), (0.1, 0.15), (0.35, 0.4)]",100,122,-0.099,2.184,0.139,50
"[(0.45, 0.5), (0.15, 0.2), (0.35, 0.4)]",144,164,-0.065,1.300,0.254,49
"[(0.45, 0.5), (0.15, 0.2), (0.3, 0.35)]",217,224,-0.016,0.111,0.739,48
"[(0.45, 0.5), (0.2, 0.25), (0.3, 0.35)]",287,279,0.014,0.113,0.737,47
"[(0.45, 0.5), (0.2, 0.25), (0.25, 0.3)]",372,362,0.014,0.136,0.712,46
"[(0.5, 0.55), (0.0, 0.05), (0.45, 0.5)]",26,28,-0.037,0.074,0.785,45
"[(0.5, 0.55), (0.0, 0.05), (0.4, 0.45)]",25,34,-0.153,1.378,0.240,44
"[(0.5, 0.55), (0.05, 0.1), (0.4, 0.45)]",55,55,0.000,-0.000,1.000,43
"[(0.5, 0.55), (0.05, 0.1), (0.35, 0.4)]",60,64,-0.032,0.129,0.719,42
"[(0.5, 0.55), (0.1, 0.15), (0.35, 0.4)]",112,97,0.072,1.077,0.299,41
"[(0.5, 0.55), (0.1, 0.15), (0.3, 0.35)]",127,129,-0.008,0.016,0.901,40
"[(0.5, 0.55), (0.15, 0.2), (0.3, 0.35)]",191,167,0.067,1.610,0.204,39
"[(0.5, 0.55), (0.15, 0.2), (0.25, 0.3)]",236,207,0.065,1.900,0.168,38
"[(0.5, 0.55), (0.2, 0.25), (0.25, 0.3)]",305,272,0.057,1.888,0.169,37
"[(0.55, 0.6), (0.0, 0.05), (0.4, 0.45)]",46,30,0.211,3.394,0.065,36
"[(0.55, 0.6), (0.0, 0.05), (0.35, 0.4)]",27,29,-0.036,0.071,0.789,35
"[(0.55, 0.6), (0.05, 0.1), (0.35, 0.4)]",56,56,0.000,-0.000,1.000,34
"[(0.55, 0.6), (0.05, 0.1), (0.3, 0.35)]",64,55,0.076,0.681,0.409,33
"[(0.55, 0.6), (0.1, 0.15), (0.3, 0.35)]",109,96,0.063,0.825,0.364,32
"[(0.55, 0.6), (0.1, 0.15), (0.25, 0.3)]",154,152,0.007,0.013,0.909,31
"[(0.55, 0.6), (0.15, 0.2), (0.25, 0.3)]",202,207,-0.012,0.061,0.805,30
"[(0.55, 0.6), (0.15, 0.2), (0.2, 0.25)]",254,254,0.000,-0.000,1.000,29
"[(0.6, 0.65), (0.0, 0.05), (0.35, 0.4)]",37,32,0.072,0.363,0.547,28
"[(0.6, 0.65), (0.0, 0.05), (0.3, 0.35)]",35,31,0.061,0.243,0.622,27
"[(0.6, 0.65), (0.05, 0.1), (0.3, 0.35)]",60,67,-0.055,0.386,0.534,26
"[(0.6, 0.65), (0.05, 0.1), (0.25, 0.3)]",84,75,0.057,0.510,0.475,25
"[(0.6, 0.65), (0.1, 0.15), (0.25, 0.3)]",112,118,-0.026,0.157,0.692,24
"[(0.6, 0.65), (0.1, 0.15), (0.2, 0.25)]",179,147,0.098,3.146,0.076,23
"[(0.6, 0.65), (0.15, 0.2), (0.2, 0.25)]",207,222,-0.035,0.525,0.469,22
"[(0.65, 0.7), (0.0, 0.05), (0.3, 0.35)]",42,49,-0.077,0.539,0.463,21
"[(0.65, 0.7), (0.0, 0.05), (0.25, 0.3)]",39,41,-0.025,0.050,0.823,20
"[(0.65, 0.7), (0.05, 0.1), (0.25, 0.3)]",76,73,0.020,0.060,0.806,19
"[(0.65, 0.7), (0.05, 0.1), (0.2, 0.25)]",100,98,0.010,0.020,0.887,18
"[(0.65, 0.7), (0.1, 0.15), (0.2, 0.25)]",127,151,-0.086,2.075,0.150,17
"[(0.65, 0.7), (0.1, 0.15), (0.15, 0.2)]",169,189,-0.056,1.118,0.290,16
"[(0.7, 0.75), (0.0, 0.05), (0.25, 0.3)]",57,49,0.075,0.604,0.437,15
"[(0.7, 0.75), (0.0, 0.05), (0.2, 0.25)]",39,49,-0.114,1.139,0.286,14
"[(0.7, 0.75), (0.05, 0.1), (0.2, 0.25)]",71,98,-0.160,4.332,0.037,13
"[(0.7, 0.75), (0.05, 0.1), (0.15, 0.2)]",122,114,0.034,0.271,0.603,12
"[(0.7, 0.75), (0.1, 0.15), (0.15, 0.2)]",159,169,-0.030,0.305,0.581,11
"[(0.75, 0.8), (0.0, 0.05), (0.2, 0.25)]",58,63,-0.041,0.207,0.649,10
"[(0.75, 0.8), (0.0, 0.05), (0.15, 0.2)]",66,63,0.023,0.070,0.792,9
"[(0.75, 0.8), (0.05, 0.1), (0.15, 0.2)]",127,96,0.139,4.323,0.038,8
"[(0.75, 0.8), (0.05, 0.1), (0.1, 0.15)]",141,144,-0.011,0.032,0.859,7
"[(0.8, 0.85), (0.0, 0.05), (0.15, 0.2)]",77,80,-0.019,0.057,0.811,6
"[(0.8, 0.85), (0.0, 0.05), (0.1, 0.15)]",86,91,-0.028,0.141,0.707,5
"[(0.8, 0.85), (0.05, 0.1), (0.1, 0.15)]",125,138,-0.049,0.643,0.423,4
"[(0.85, 0.9), (0.0, 0.05), (0.1, 0.15)]",93,118,-0.118,2.969,0.085,3
"[(0.85, 0.9), (0.0, 0.05), (0.05, 0.1)]",104,115,-0.050,0.553,0.457,2
"[(0.9, 0.95), (0.0, 0.05), (0.05, 0.1)]",152,138,0.048,0.676,0.411,1
