"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.4, 0.45), (0.0, 0.05), (0.55, 0.6)]",0,0,,,,66
"[(0.4, 0.45), (0.0, 0.05), (0.5, 0.55)]",0,0,,,,65
"[(0.4, 0.45), (0.05, 0.1), (0.5, 0.55)]",0,0,,,,64
"[(0.4, 0.45), (0.05, 0.1), (0.45, 0.5)]",0,1,-1.000,1.386,0.239,63
"[(0.4, 0.45), (0.1, 0.15), (0.45, 0.5)]",2,0,1.000,2.773,0.096,62
"[(0.4, 0.45), (0.1, 0.15), (0.4, 0.45)]",0,1,-1.000,1.386,0.239,61
"[(0.4, 0.45), (0.15, 0.2), (0.4, 0.45)]",1,5,-0.667,2.911,0.088,60
"[(0.4, 0.45), (0.15, 0.2), (0.35, 0.4)]",7,7,0.000,-0.000,1.000,59
"[(0.4, 0.45), (0.2, 0.25), (0.35, 0.4)]",10,10,0.000,-0.000,1.000,58
"[(0.4, 0.45), (0.2, 0.25), (0.3, 0.35)]",14,17,-0.097,0.291,0.590,57
"[(0.4, 0.45), (0.25, 0.3), (0.3, 0.35)]",28,20,0.167,1.340,0.247,56
"[(0.45, 0.5), (0.0, 0.05), (0.5, 0.55)]",0,0,,,,55
"[(0.45, 0.5), (0.0, 0.05), (0.45, 0.5)]",0,0,,,,54
"[(0.45, 0.5), (0.05, 0.1), (0.45, 0.5)]",0,0,,,,53
"[(0.45, 0.5), (0.05, 0.1), (0.4, 0.45)]",1,1,0.000,-0.000,1.000,52
"[(0.45, 0.5), (0.1, 0.15), (0.4, 0.45)]",2,1,0.333,0.340,0.560,51
"[(0.45, 0.5), (0.1, 0.15), (0.35, 0.4)]",0,1,-1.000,1.386,0.239,50
"[(0.45, 0.5), (0.15, 0.2), (0.35, 0.4)]",1,3,-0.500,1.046,0.306,49
"[(0.45, 0.5), (0.15, 0.2), (0.3, 0.35)]",6,11,-0.294,1.493,0.222,48
"[(0.45, 0.5), (0.2, 0.25), (0.3, 0.35)]",11,13,-0.083,0.167,0.683,47
