T1_bounds,T2_bounds,T3_bounds,count_data,count_model,prop_data,prop_model,prop_residual,residual_squared,count_residual
"(0.1, 0.15)","(0.25, 0.3)","(0.55, 0.6)",13,4,0.0004386556890268592,0.00013341783129315233,0.00030523785773370685,9.317014979386266e-08,9
"(0.1, 0.15)","(0.3, 0.35)","(0.55, 0.6)",9,3,0.0003036847077878256,0.00010006337346986425,0.00020362133431796136,4.1461647789426985e-08,6
"(0.1, 0.15)","(0.3, 0.35)","(0.5, 0.55)",11,4,0.0003711701984073424,0.00013341783129315233,0.00023775236711419008,5.652618806840061e-08,7
"(0.1, 0.15)","(0.35, 0.4)","(0.5, 0.55)",10,3,0.00033742745309758404,0.00010006337346986425,0.00023736407962771978,5.6341706297514494e-08,7
"(0.1, 0.15)","(0.35, 0.4)","(0.45, 0.5)",15,4,0.000506141179646376,0.00013341783129315233,0.0003727233483532237,1.3892269440763853e-07,11
"(0.1, 0.15)","(0.4, 0.45)","(0.45, 0.5)",14,6,0.00047239843433661763,0.0002001267469397285,0.0002722716873968891,7.413187175794931e-08,8
"(0.1, 0.15)","(0.4, 0.45)","(0.4, 0.45)",12,7,0.00040491294371710083,0.00023348120476301658,0.00017143173895408425,2.9388841120821287e-08,5
"(0.1, 0.15)","(0.45, 0.5)","(0.4, 0.45)",10,0,0.00033742745309758404,0.0,0.00033742745309758404,1.1385728610392228e-07,10
"(0.1, 0.15)","(0.45, 0.5)","(0.35, 0.4)",16,8,0.0005398839249561345,0.00026683566258630466,0.0002730482623698298,7.455535358318342e-08,8
"(0.1, 0.15)","(0.5, 0.55)","(0.35, 0.4)",13,9,0.0004386556890268592,0.00030019012040959276,0.00013846556861726644,1.917271369250292e-08,4
"(0.1, 0.15)","(0.5, 0.55)","(0.3, 0.35)",12,11,0.00040491294371710083,0.0003668990360561689,3.801390766093192e-05,1.4450571756538585e-09,1
"(0.1, 0.15)","(0.55, 0.6)","(0.3, 0.35)",16,4,0.0005398839249561345,0.00013341783129315233,0.0004064660936629822,1.652146852976442e-07,12
"(0.1, 0.15)","(0.55, 0.6)","(0.25, 0.3)",17,6,0.0005736266702658929,0.0002001267469397285,0.00037349992332616434,1.3950219272465064e-07,11
"(0.1, 0.15)","(0.6, 0.65)","(0.25, 0.3)",10,3,0.00033742745309758404,0.00010006337346986425,0.00023736407962771978,5.6341706297514494e-08,7
"(0.1, 0.15)","(0.6, 0.65)","(0.2, 0.25)",12,9,0.00040491294371710083,0.00030019012040959276,0.00010472282330750807,1.0966869721495555e-08,3
"(0.1, 0.15)","(0.65, 0.7)","(0.2, 0.25)",12,4,0.00040491294371710083,0.00013341783129315233,0.0002714951124239485,7.370959607009242e-08,8
"(0.1, 0.15)","(0.65, 0.7)","(0.15, 0.2)",21,1,0.0007085976515049264,3.335445782328808e-05,0.0006752431936816384,4.5595337061337864e-07,20
"(0.1, 0.15)","(0.7, 0.75)","(0.15, 0.2)",13,5,0.0004386556890268592,0.0001667722891164404,0.0002718833999104188,7.392058314684871e-08,8
"(0.1, 0.15)","(0.7, 0.75)","(0.1, 0.15)",18,6,0.0006073694155756512,0.0002001267469397285,0.0004072426686359227,1.6584659115770794e-07,12
